seq_index,seq_start_row,seq_start_time,recon_error,anomaly_flag
653,10448,2025-07-21 03:57:28.337,0.008683305,0
654,10464,2025-07-21 03:57:30.175,0.008687015,0
655,10480,2025-07-21 03:57:42.686,0.008685606,0
656,10496,2025-07-21 03:57:51.070,0.008681876,0
657,10512,2025-07-21 03:58:04.205,0.008681811,0
658,10528,2025-07-21 03:58:06.157,0.008687489,0
659,10544,2025-07-21 03:58:11.678,0.008683513,0
660,10560,2025-07-21 03:58:19.036,0.008682379,0
661,10576,2025-07-21 03:58:26.975,0.008690322,0
662,10592,2025-07-21 03:58:42.700,0.008683453,0
663,10608,2025-07-21 03:58:48.149,0.008689609,0
664,10624,2025-07-21 03:58:54.323,0.008697813,0
665,10640,2025-07-21 03:59:01.694,0.00869165,0
666,10656,2025-07-21 03:59:30.809,0.008683186,0
667,10672,2025-07-21 03:59:33.251,0.008691369,0
668,10688,2025-07-21 03:59:39.997,0.008690342,0
669,10704,2025-07-21 03:59:47.833,0.008682702,0
670,10720,2025-07-21 04:00:19.150,0.0086824875,0
671,10736,2025-07-21 04:00:21.099,0.008687027,0
672,10752,2025-07-21 04:00:26.716,0.008682664,0
673,10768,2025-07-21 04:00:34.149,0.008681473,0
674,10784,2025-07-21 04:00:43.906,0.008685747,0
675,10800,2025-07-21 04:00:53.167,0.008683837,0
676,10816,2025-07-21 04:00:58.237,0.008691191,0
677,10832,2025-07-21 04:01:03.965,0.008694653,0
678,10848,2025-07-21 04:01:11.471,0.008693131,0
679,10864,2025-07-21 04:01:57.049,0.008683111,0
680,10880,2025-07-21 04:01:59.485,0.008687517,0
681,10896,2025-07-21 04:02:07.193,0.008694257,0
682,10912,2025-07-21 04:02:14.373,0.008685904,0
683,10928,2025-07-21 04:02:30.145,0.008682324,0
684,10944,2025-07-21 04:02:32.249,0.008691568,0
685,10960,2025-07-21 04:02:37.670,0.008683391,0
686,10976,2025-07-21 04:02:46.075,0.0086824205,0
687,10992,2025-07-21 04:03:00.956,0.008686698,0
688,11008,2025-07-21 04:03:03.791,0.008679182,0
689,11024,2025-07-21 04:03:08.950,0.008687362,0
690,11040,2025-07-21 04:03:15.091,0.008689853,0
691,11056,2025-07-21 04:03:22.877,0.008688874,0
692,11072,2025-07-21 04:03:35.522,0.008688155,0
693,11088,2025-07-21 04:03:38.275,0.008686741,0
694,11104,2025-07-21 04:03:45.659,0.008697332,0
695,11120,2025-07-21 04:03:52.957,0.008688365,0
696,11136,2025-07-21 04:04:51.582,0.008679873,0
697,11152,2025-07-21 04:04:53.815,0.00869528,0
698,11168,2025-07-21 04:04:59.016,0.008683206,0
699,11184,2025-07-21 04:05:07.392,0.00868262,0
700,11200,2025-07-21 04:05:23.687,0.00868673,0
701,11216,2025-07-21 04:05:26.090,0.008688247,0
702,11232,2025-07-21 04:05:37.760,0.008699968,0
703,11248,2025-07-21 04:05:43.772,0.0087082395,0
704,11264,2025-07-21 04:05:53.168,0.008701903,0
705,11280,2025-07-21 04:07:54.047,0.008683305,0
706,11296,2025-07-21 04:07:55.858,0.008686823,0
707,11312,2025-07-21 04:08:09.890,0.0086856065,0
708,11328,2025-07-21 04:08:18.249,0.008681876,0
709,11344,2025-07-21 04:08:26.761,0.008681811,0
710,11360,2025-07-21 04:08:28.805,0.008687681,0
711,11376,2025-07-21 04:08:34.272,0.008683513,0
712,11392,2025-07-21 04:08:41.750,0.008732771,0
713,11408,2025-07-21 04:08:49.833,0.008727882,0
714,11424,2025-07-21 04:08:53.722,0.008719949,0
715,11440,2025-07-21 04:08:59.074,0.008731717,0
716,11456,2025-07-21 04:09:09.330,0.008690518,0
717,11472,2025-07-21 04:09:19.863,0.008708798,0
718,11488,2025-07-21 04:09:27.047,0.0087353075,0
719,11504,2025-07-21 04:10:36.350,0.008721365,0
720,11520,2025-07-21 04:10:38.384,0.008719139,0
721,11536,2025-07-21 04:10:47.311,0.008722375,0
722,11552,2025-07-21 04:11:00.631,0.008683391,0
723,11568,2025-07-21 04:11:09.111,0.0086824205,0
724,11584,2025-07-21 04:11:17.523,0.008686698,0
725,11600,2025-07-21 04:11:20.268,0.008680015,0
726,11616,2025-07-21 04:11:25.369,0.008688194,0
727,11632,2025-07-21 04:11:31.208,0.008723436,0
728,11648,2025-07-21 04:11:38.985,0.008735961,0
729,11664,2025-07-21 04:11:44.655,0.008727794,0
730,11680,2025-07-21 04:11:47.411,0.008724694,0
731,11696,2025-07-21 04:12:00.006,0.008702391,0
732,11712,2025-07-21 04:12:21.693,0.008689511,0
733,11728,2025-07-21 04:12:29.480,0.008681869,0
734,11744,2025-07-21 04:12:47.183,0.008681656,0
735,11760,2025-07-21 04:12:49.133,0.008690741,0
736,11776,2025-07-21 04:13:02.108,0.008682663,0
737,11792,2025-07-21 04:13:09.517,0.008681474,0
738,11808,2025-07-21 04:13:19.131,0.008685747,0
739,11824,2025-07-21 04:13:22.754,0.008679733,0
740,11840,2025-07-21 04:13:27.790,0.008686567,0
741,11856,2025-07-21 04:13:33.605,0.008693822,0
